Year,Age,Domicile,Gender,Level of study,Applicants
2016,19,Not EU,Men,All,20
2016,19,Not EU,Women,All,40
2016,19,Scotland,Men,All,20
2016,19,Scotland,Women,All,30
2016,19,Wales,Men,All,10
2016,19,Wales,Women,All,10
2016,20,EU (excluding UK),Men,All,20
2016,20,EU (excluding UK),Women,All,10
2016,20,England,Men,All,20
2016,20,England,Women,All,30
2016,20,Not EU,Men,All,10
2016,20,Not EU,Women,All,20
2016,20,Scotland,Men,All,20
2016,20,Scotland,Women,All,10
2016,21-24,EU (excluding UK),Men,All,70
2016,21-24,EU (excluding UK),Women,All,100
2016,21-24,England,Men,All,210
2016,21-24,England,Women,All,230
2016,21-24,Northern Ireland,Men,All,10
2016,21-24,Northern Ireland,Women,All,10
2016,21-24,Not EU,Men,All,90
2016,21-24,Not EU,Women,All,210
2016,21-24,Scotland,Men,All,40
2016,21-24,Scotland,Women,All,30
2016,21-24,Wales,Men,All,20
2016,21-24,Wales,Women,All,20
2016,25-29,EU (excluding UK),Men,All,60
2016,25-29,EU (excluding UK),Women,All,50
2016,25-29,England,Men,All,70
2016,25-29,England,Women,All,110
2016,25-29,Not EU,Men,All,50
2016,25-29,Not EU,Women,All,90
2016,25-29,Scotland,Men,All,20
2016,25-29,Scotland,Women,All,20
2016,30-34,EU (excluding UK),Men,All,10
2016,30-34,EU (excluding UK),Women,All,10
2016,30-34,England,Men,All,20
2016,30-34,England,Women,All,20
2016,30-34,Not EU,Men,All,10
2016,30-34,Not EU,Women,All,20
2016,35 and over,England,Men,All,10
2016,35 and over,England,Women,All,10
2016,35 and over,Not EU,Women,All,10
2017,17 and under,EU (excluding UK),Men,All,10
2017,17 and under,EU (excluding UK),Women,All,10
2017,17 and under,Not EU,Men,All,10
2017,17 and under,Not EU,Women,All,10
2017,18,EU (excluding UK),Men,All,30
2017,18,EU (excluding UK),Women,All,30
2017,18,England,Men,All,230
2017,18,England,Women,All,220
2017,18,Northern Ireland,Men,All,10
2017,18,Northern Ireland,Women,All,10
2017,18,Not EU,Men,All,20
2017,18,Not EU,Women,All,40
2017,18,Scotland,Men,All,50
2017,18,Scotland,Women,All,50
2017,18,Wales,Men,All,20
2017,18,Wales,Women,All,30
2017,19,EU (excluding UK),Men,All,20
2017,19,EU (excluding UK),Women,All,20
2017,19,England,Men,All,60
2017,19,England,Women,All,70
2017,19,Not EU,Men,All,10
2017,19,Not EU,Women,All,20
2017,19,Scotland,Men,All,20
2017,19,Scotland,Women,All,20
2017,19,Wales,Men,All,10
2017,19,Wales,Women,All,10
2017,20,EU (excluding UK),Men,All,10
2017,20,EU (excluding UK),Women,All,10
2017,20,England,Men,All,20
2017,20,England,Women,All,20
2017,20,Not EU,Men,All,10
2017,20,Not EU,Women,All,10
2017,21-24,EU (excluding UK),Men,All,50
2017,21-24,EU (excluding UK),Women,All,50
2017,21-24,England,Men,All,90
2017,21-24,England,Women,All,130
2017,21-24,Not EU,Men,All,70
2017,21-24,Not EU,Women,All,170
2017,21-24,Scotland,Men,All,10
2017,21-24,Scotland,Women,All,20
2017,21-24,Wales,Men,All,10
2017,21-24,Wales,Women,All,20
2017,25-29,EU (excluding UK),Men,All,20
2017,25-29,EU (excluding UK),Women,All,10
2017,25-29,England,Men,All,30
2017,25-29,England,Women,All,50
2017,25-29,Not EU,Men,All,40
2017,25-29,Not EU,Women,All,50
2017,25-29,Scotland,Women,All,10
2017,30-34,EU (excluding UK),Men,All,10
2017,30-34,England,Men,All,10
2017,30-34,England,Women,All,10
2017,30-34,Not EU,Men,All,10
2017,30-34,Not EU,Women,All,10
2017,35 and over,England,Women,All,10
2018,17 and under,EU (excluding UK),Men,All,10
2018,17 and under,EU (excluding UK),Women,All,10
2018,17 and under,Not EU,Women,All,10
2018,18,EU (excluding UK),Men,All,20
2018,18,EU (excluding UK),Women,All,30
2018,18,England,Men,All,260
2018,18,England,Women,All,270
2018,18,Northern Ireland,Men,All,10
2018,18,Not EU,Men,All,40
2018,18,Not EU,Women,All,60
2018,18,Scotland,Men,All,40
2018,18,Scotland,Women,All,40
2018,18,Wales,Men,All,20
2018,18,Wales,Women,All,20
2018,19,EU (excluding UK),Men,All,20
2018,19,EU (excluding UK),Women,All,30
2018,19,England,Men,All,70
2018,19,England,Women,All,70
2018,19,Not EU,Men,All,20
2018,19,Not EU,Women,All,20
2018,19,Scotland,Men,All,20
2018,19,Scotland,Women,All,20
2018,19,Wales,Women,All,10
2018,20,EU (excluding UK),Men,All,10
2018,20,EU (excluding UK),Women,All,10
2018,20,England,Men,All,20
2018,20,England,Women,All,10
2018,20,Not EU,Men,All,10
2018,20,Not EU,Women,All,10
2018,20,Scotland,Men,All,10
2018,20,Scotland,Women,All,10
2018,21-24,EU (excluding UK),Men,All,40
2018,21-24,EU (excluding UK),Women,All,70
2018,21-24,England,Men,All,120
2018,21-24,England,Women,All,160
2018,21-24,Northern Ireland,Women,All,10
2018,21-24,Not EU,Men,All,100
2018,21-24,Not EU,Women,All,210
2018,21-24,Scotland,Men,All,20
2018,21-24,Scotland,Women,All,20
2018,21-24,Wales,Men,All,10
2018,21-24,Wales,Women,All,20
2018,25-29,EU (excluding UK),Men,All,20
2018,25-29,EU (excluding UK),Women,All,30
2018,25-29,England,Men,All,40
2018,25-29,England,Women,All,80
2018,25-29,Not EU,Men,All,50
2018,25-29,Not EU,Women,All,80
2018,25-29,Scotland,Men,All,10
2018,25-29,Scotland,Women,All,10
2018,25-29,Wales,Women,All,10
2018,30-34,EU (excluding UK),Women,All,10
2018,30-34,England,Men,All,10
2018,30-34,England,Women,All,20
2018,30-34,Not EU,Men,All,10
2018,30-34,Not EU,Women,All,20
2018,35 and over,England,Men,All,10
2018,35 and over,Not EU,Men,All,10
2018,35 and over,Not EU,Women,All,10
2019,17 and under,EU (excluding UK),Women,All,20
2019,17 and under,England,Women,All,10
2019,17 and under,Not EU,Men,All,10
2019,17 and under,Not EU,Women,All,10
2019,18,EU (excluding UK),Men,All,30
2019,18,EU (excluding UK),Women,All,50
2019,18,England,Men,All,350
2019,18,England,Women,All,310
2019,18,Northern Ireland,Women,All,10
2019,18,Not EU,Men,All,60
2019,18,Not EU,Women,All,80
2019,18,Scotland,Men,All,50
2019,18,Scotland,Women,All,60
2019,18,Wales,Men,All,30
2019,18,Wales,Women,All,30
2019,19,EU (excluding UK),Men,All,30
2019,19,EU (excluding UK),Women,All,50
2019,19,England,Men,All,90
2019,19,England,Women,All,90
2019,19,Northern Ireland,Men,All,10
2019,19,Not EU,Men,All,20
2019,19,Not EU,Women,All,50
2019,19,Scotland,Men,All,20
2019,19,Scotland,Women,All,20
2019,19,Wales,Women,All,10
2019,20,EU (excluding UK),Men,All,10
2019,20,EU (excluding UK),Women,All,20
2019,20,England,Men,All,10
2019,20,England,Women,All,20
2019,20,Not EU,Men,All,10
2019,20,Not EU,Women,All,20
2019,20,Scotland,Men,All,10
2019,20,Scotland,Women,All,10
2019,21-24,EU (excluding UK),Men,All,90
2019,21-24,EU (excluding UK),Women,All,120
2019,21-24,England,Men,All,190
2019,21-24,England,Women,All,250
2019,21-24,Northern Ireland,Men,All,10
2019,21-24,Not EU,Men,All,160
2019,21-24,Not EU,Women,All,330
2019,21-24,Scotland,Men,All,30
2019,21-24,Scotland,Women,All,40
2019,21-24,Wales,Men,All,20
2019,21-24,Wales,Women,All,20
2019,25-29,EU (excluding UK),Men,All,50
2019,25-29,EU (excluding UK),Women,All,70
2019,25-29,England,Men,All,80
2019,25-29,England,Women,All,140
2019,25-29,Not EU,Men,All,70
2019,25-29,Not EU,Women,All,120
2019,25-29,Scotland,Men,All,10
2019,25-29,Scotland,Women,All,10
2019,25-29,Wales,Men,All,10
2019,25-29,Wales,Women,All,10
2019,30-34,EU (excluding UK),Men,All,10
2019,30-34,England,Men,All,10
2019,30-34,England,Women,All,10
2019,30-34,Not EU,Men,All,20
2019,30-34,Not EU,Women,All,20
2019,35 and over,England,Men,All,10
2019,35 and over,England,Women,All,20
2019,35 and over,Not EU,Men,All,10
2019,35 and over,Not EU,Women,All,10
2020,17 and under,EU (excluding UK),Women,All,10
2020,17 and under,Not EU,Men,All,10
2020,17 and under,Not EU,Women,All,20
2020,18,EU (excluding UK),Men,All,30
2020,18,EU (excluding UK),Women,All,40
2020,18,England,Men,All,330
2020,18,England,Women,All,300
2020,18,Northern Ireland,Men,All,10
2020,18,Northern Ireland,Women,All,10
2020,18,Not EU,Men,All,60
2020,18,Not EU,Women,All,90
2020,18,Scotland,Men,All,60
2020,18,Scotland,Women,All,60
2020,18,Wales,Men,All,20
2020,18,Wales,Women,All,40
2020,19,EU (excluding UK),Men,All,30
2020,19,EU (excluding UK),Women,All,30
2020,19,England,Men,All,90
2020,19,England,Women,All,90
2020,19,Not EU,Men,All,40
2020,19,Not EU,Women,All,50
2020,19,Scotland,Men,All,20
2020,19,Scotland,Women,All,30
2020,19,Wales,Men,All,10
2020,19,Wales,Women,All,10
2020,20,EU (excluding UK),Men,All,10
2020,20,EU (excluding UK),Women,All,20
2020,20,England,Men,All,20
2020,20,England,Women,All,20
2020,20,Not EU,Men,All,10
2020,20,Not EU,Women,All,30
2020,20,Scotland,Men,All,10
2020,20,Scotland,Women,All,10
2020,21-24,EU (excluding UK),Men,All,70
2020,21-24,EU (excluding UK),Women,All,110
2020,21-24,England,Men,All,210
2020,21-24,England,Women,All,220
2020,21-24,Northern Ireland,Women,All,10
2020,21-24,Not EU,Men,All,190
2020,21-24,Not EU,Women,All,440
2020,21-24,Scotland,Men,All,30
2020,21-24,Scotland,Women,All,30
2020,21-24,Wales,Men,All,20
2020,21-24,Wales,Women,All,20
2020,25-29,EU (excluding UK),Men,All,60
2020,25-29,EU (excluding UK),Women,All,50
2020,25-29,England,Men,All,100
2020,25-29,England,Women,All,120
2020,25-29,Not EU,Men,All,120
2020,25-29,Not EU,Women,All,140
2020,25-29,Scotland,Men,All,20
2020,25-29,Scotland,Women,All,20
2020,25-29,Wales,Men,All,10
2020,25-29,Wales,Women,All,10
2020,30-34,EU (excluding UK),Men,All,10
2020,30-34,EU (excluding UK),Women,All,10
2020,30-34,England,Men,All,20
2020,30-34,England,Women,All,20
2020,30-34,Not EU,Men,All,10
2020,30-34,Not EU,Women,All,30
2020,35 and over,England,Men,All,10
2020,35 and over,England,Women,All,20
2020,35 and over,Not EU,Men,All,10
2020,35 and over,Not EU,Women,All,10
2021,17 and under,EU (excluding UK),Women,All,10
2021,17 and under,Not EU,Men,All,10
2021,17 and under,Not EU,Women,All,20
2021,18,EU (excluding UK),Men,All,30
2021,18,EU (excluding UK),Women,All,40
2021,18,England,Men,All,340
2021,18,England,Women,All,260
2021,18,Northern Ireland,Women,All,10
2021,18,Not EU,Men,All,90
2021,18,Not EU,Women,All,120
2021,18,Scotland,Men,All,50
2021,18,Scotland,Women,All,40
2021,18,Wales,Men,All,20
2021,18,Wales,Women,All,20
2021,19,EU (excluding UK),Men,All,10
2021,19,EU (excluding UK),Women,All,30
2021,19,England,Men,All,90
2021,19,England,Women,All,70
2021,19,Not EU,Men,All,50
2021,19,Not EU,Women,All,50
2021,19,Scotland,Men,All,10
2021,19,Scotland,Women,All,30
2021,19,Wales,Men,All,10
2021,19,Wales,Women,All,10
2021,20,EU (excluding UK),Men,All,10
2021,20,EU (excluding UK),Women,All,10
2021,20,England,Men,All,30
2021,20,England,Women,All,20
2021,20,Not EU,Men,All,20
2021,20,Not EU,Women,All,20
2021,20,Scotland,Men,All,10
2021,21-24,EU (excluding UK),Men,All,70
2021,21-24,EU (excluding UK),Women,All,90
2021,21-24,England,Men,All,200
2021,21-24,England,Women,All,250
2021,21-24,Northern Ireland,Women,All,10
2021,21-24,Not EU,Men,All,260
2021,21-24,Not EU,Women,All,410
2021,21-24,Scotland,Men,All,40
2021,21-24,Scotland,Women,All,40
2021,21-24,Wales,Men,All,20
2021,21-24,Wales,Women,All,30
2021,25-29,EU (excluding UK),Men,All,40
2021,25-29,EU (excluding UK),Women,All,50
2021,25-29,England,Men,All,90
2021,25-29,England,Women,All,100
2021,25-29,Not EU,Men,All,110
2021,25-29,Not EU,Women,All,150
2021,25-29,Scotland,Men,All,20
2021,25-29,Scotland,Women,All,10
2021,25-29,Wales,Men,All,10
2021,30-34,EU (excluding UK),Men,All,10
2021,30-34,EU (excluding UK),Women,All,10
2021,30-34,England,Men,All,10
2021,30-34,England,Women,All,30
2021,30-34,Not EU,Men,All,20
2021,30-34,Not EU,Women,All,30
2021,35 and over,England,Men,All,10
2021,35 and over,England,Women,All,10
2021,35 and over,Not EU,Men,All,10
2021,35 and over,Not EU,Women,All,10
2022,17 and under,EU (excluding UK),Women,All,10
2022,17 and under,Not EU,Men,All,10
2022,17 and under,Not EU,Women,All,20
2022,18,EU (excluding UK),Men,All,20
2022,18,EU (excluding UK),Women,All,40
2022,18,England,Men,All,320
2022,18,England,Women,All,290
2022,18,Northern Ireland,Men,All,10
2022,18,Northern Ireland,Women,All,10
2022,18,Not EU,Men,All,90
2022,18,Not EU,Women,All,120
2022,18,Scotland,Men,All,50
2022,18,Scotland,Women,All,30
2022,18,Wales,Men,All,10
2022,18,Wales,Women,All,20
2022,19,EU (excluding UK),Men,All,10
2022,19,EU (excluding UK),Women,All,20
2022,19,England,Men,All,80
2022,19,England,Women,All,70
2022,19,Not EU,Men,All,50
2022,19,Not EU,Women,All,50
2022,19,Scotland,Men,All,20
2022,19,Scotland,Women,All,10
2022,20,EU (excluding UK),Women,All,10
2022,20,England,Men,All,10
2022,20,England,Women,All,20
2022,20,Not EU,Men,All,10
2022,20,Not EU,Women,All,30
2022,20,Scotland,Men,All,10
2022,21-24,EU (excluding UK),Men,All,30
2022,21-24,EU (excluding UK),Women,All,60
2022,21-24,England,Men,All,200
2022,21-24,England,Women,All,200
2022,21-24,Not EU,Men,All,260
2022,21-24,Not EU,Women,All,490
2022,21-24,Scotland,Men,All,20
2022,21-24,Scotland,Women,All,30
2022,21-24,Wales,Men,All,10
2022,21-24,Wales,Women,All,20
2022,25-29,EU (excluding UK),Men,All,30
2022,25-29,EU (excluding UK),Women,All,30
2022,25-29,England,Men,All,80
2022,25-29,England,Women,All,110
2022,25-29,Not EU,Men,All,100
2022,25-29,Not EU,Women,All,130
2022,25-29,Scotland,Men,All,10
2022,25-29,Scotland,Women,All,10
2022,25-29,Wales,Men,All,10
2022,25-29,Wales,Women,All,10
2022,30-34,England,Men,All,20
2022,30-34,England,Women,All,30
2022,30-34,Not EU,Men,All,30
2022,30-34,Not EU,Women,All,20
2022,35 and over,England,Men,All,10
2022,35 and over,England,Women,All,10
2022,35 and over,Not EU,Men,All,20
2022,35 and over,Not EU,Women,All,10
2023,17 and under,EU (excluding UK),Men,All,10
2023,17 and under,EU (excluding UK),Women,All,10
2023,17 and under,Not EU,Men,All,20
2023,17 and under,Not EU,Women,All,30
2023,18,EU (excluding UK),Men,All,20
2023,18,EU (excluding UK),Women,All,20
2023,18,England,Men,All,330
2023,18,England,Women,All,270
2023,18,Northern Ireland,Men,All,10
2023,18,Northern Ireland,Women,All,10
2023,18,Not EU,Men,All,90
2023,18,Not EU,Women,All,150
2023,18,Scotland,Men,All,40
2023,18,Scotland,Women,All,50
2023,18,Wales,Men,All,20
2023,18,Wales,Women,All,20
2023,19,EU (excluding UK),Men,All,10
2023,19,EU (excluding UK),Women,All,20
2023,19,England,Men,All,100
2023,19,England,Women,All,60
2023,19,Not EU,Men,All,40
2023,19,Not EU,Women,All,80
2023,19,Scotland,Men,All,20
2023,19,Scotland,Women,All,10
2023,19,Wales,Men,All,10
2023,19,Wales,Women,All,10
2023,20,EU (excluding UK),Women,All,20
2023,20,England,Men,All,20
2023,20,England,Women,All,20
2023,20,Not EU,Men,All,20
2023,20,Not EU,Women,All,30
2023,20,Scotland,Men,All,10
2023,21-24,EU (excluding UK),Men,All,60
2023,21-24,EU (excluding UK),Women,All,60
2023,21-24,England,Men,All,190
2023,21-24,England,Women,All,230
2023,21-24,Not EU,Men,All,290
2023,21-24,Not EU,Women,All,470
2023,21-24,Scotland,Men,All,20
2023,21-24,Scotland,Women,All,30
2023,21-24,Wales,Men,All,10
2023,21-24,Wales,Women,All,20
2023,25-29,EU (excluding UK),Men,All,30
2023,25-29,EU (excluding UK),Women,All,30
2023,25-29,England,Men,All,80
2023,25-29,England,Women,All,100
2023,25-29,Not EU,Men,All,140
2023,25-29,Not EU,Women,All,140
2023,25-29,Scotland,Men,All,10
2023,25-29,Scotland,Women,All,10
2023,25-29,Wales,Men,All,10
2023,25-29,Wales,Women,All,10
2023,30-34,EU (excluding UK),Men,All,10
2023,30-34,England,Men,All,20
2023,30-34,England,Women,All,20
2023,30-34,Not EU,Men,All,20
2023,30-34,Not EU,Women,All,40
2023,30-34,Scotland,Women,All,10
2023,35 and over,England,Men,All,10
2023,35 and over,England,Women,All,20
2023,35 and over,Not EU,Men,All,10
2023,35 and over,Not EU,Women,All,20
2016,17 and under,EU (excluding UK),Men,Undergraduate only,10
2016,17 and under,EU (excluding UK),Women,Undergraduate only,10
2016,17 and under,Not EU,Men,Undergraduate only,10
2016,17 and under,Not EU,Women,Undergraduate only,10
2016,18,EU (excluding UK),Men,Undergraduate only,20
2016,18,EU (excluding UK),Women,Undergraduate only,40
2016,18,England,Men,Undergraduate only,310
2016,18,England,Women,Undergraduate only,290
2016,18,Northern Ireland,Men,Undergraduate only,10
2016,18,Northern Ireland,Women,Undergraduate only,10
2016,18,Not EU,Men,Undergraduate only,30
2016,18,Not EU,Women,Undergraduate only,40
2016,18,Scotland,Men,Undergraduate only,60
2016,18,Scotland,Women,Undergraduate only,70
2016,18,Wales,Men,Undergraduate only,30
2016,18,Wales,Women,Undergraduate only,30
2016,19,EU (excluding UK),Men,Undergraduate only,10
2016,19,EU (excluding UK),Women,Undergraduate only,30
2016,19,England,Men,Undergraduate only,100
2016,19,England,Women,Undergraduate only,110
2016,19,Not EU,Men,Undergraduate only,20
2016,19,Not EU,Women,Undergraduate only,40
2016,19,Scotland,Men,Undergraduate only,20
2016,19,Scotland,Women,Undergraduate only,30
2016,19,Wales,Men,Undergraduate only,10
2016,19,Wales,Women,Undergraduate only,10
2016,20,EU (excluding UK),Men,Undergraduate only,10
2016,20,EU (excluding UK),Women,Undergraduate only,10
2016,20,England,Men,Undergraduate only,20
2016,20,England,Women,Undergraduate only,20
2016,20,Not EU,Men,Undergraduate only,10
2016,20,Not EU,Women,Undergraduate only,10
2016,20,Scotland,Men,Undergraduate only,20
2016,20,Scotland,Women,Undergraduate only,10
2016,21-24,EU (excluding UK),Men,Postgraduate only,50
2016,21-24,EU (excluding UK),Men,Undergraduate only,20
2016,21-24,EU (excluding UK),Women,Postgraduate only,70
2016,21-24,EU (excluding UK),Women,Undergraduate only,30
2016,21-24,England,Men,Postgraduate only,180
2016,21-24,England,Men,Undergraduate only,30
2016,21-24,England,Women,Postgraduate only,210
2016,21-24,England,Women,Undergraduate only,20
2016,21-24,Northern Ireland,Men,Postgraduate only,10
2016,21-24,Northern Ireland,Women,Postgraduate only,10
2016,21-24,Not EU,Men,Postgraduate only,70
2016,21-24,Not EU,Men,Undergraduate only,20
2016,21-24,Not EU,Women,Postgraduate only,200
2016,21-24,Not EU,Women,Undergraduate only,10
2016,21-24,Scotland,Men,Postgraduate only,20
2016,21-24,Scotland,Men,Undergraduate only,10
2016,21-24,Scotland,Women,Postgraduate only,20
2016,21-24,Scotland,Women,Undergraduate only,10
2016,21-24,Wales,Men,Postgraduate only,10
2016,21-24,Wales,Women,Postgraduate only,20
2016,25-29,EU (excluding UK),Men,Postgraduate only,50
2016,25-29,EU (excluding UK),Men,Undergraduate only,10
2016,25-29,EU (excluding UK),Women,Postgraduate only,50
2016,25-29,EU (excluding UK),Women,Undergraduate only,10
2016,25-29,England,Men,Postgraduate only,60
2016,25-29,England,Men,Undergraduate only,10
2016,25-29,England,Women,Postgraduate only,100
2016,25-29,Not EU,Men,Postgraduate only,50
2016,25-29,Not EU,Women,Postgraduate only,80
2016,25-29,Not EU,Women,Undergraduate only,10
2016,25-29,Scotland,Men,Postgraduate only,10
2016,25-29,Scotland,Men,Undergraduate only,10
2016,25-29,Scotland,Women,Postgraduate only,20
2016,30-34,EU (excluding UK),Men,Postgraduate only,10
2016,30-34,EU (excluding UK),Women,Postgraduate only,10
2016,30-34,England,Men,Postgraduate only,20
2016,30-34,England,Women,Postgraduate only,20
2016,30-34,Not EU,Men,Postgraduate only,10
2016,30-34,Not EU,Women,Postgraduate only,10
2016,35 and over,England,Men,Postgraduate only,10
2016,35 and over,Not EU,Women,Postgraduate only,10
2017,17 and under,EU (excluding UK),Men,Undergraduate only,10
2017,17 and under,EU (excluding UK),Women,Undergraduate only,10
2017,17 and under,Not EU,Women,Undergraduate only,10
2017,18,EU (excluding UK),Men,Undergraduate only,30
2017,18,EU (excluding UK),Women,Undergraduate only,30
2017,18,England,Men,Undergraduate only,230
2017,18,England,Women,Undergraduate only,220
2017,18,Northern Ireland,Men,Undergraduate only,10
2017,18,Northern Ireland,Women,Undergraduate only,10
2017,18,Not EU,Men,Undergraduate only,20
2017,18,Not EU,Women,Undergraduate only,40
2017,18,Scotland,Men,Undergraduate only,50
2017,18,Scotland,Women,Undergraduate only,50
2017,18,Wales,Men,Undergraduate only,20
2017,18,Wales,Women,Undergraduate only,30
2017,19,EU (excluding UK),Men,Undergraduate only,20
2017,19,EU (excluding UK),Women,Undergraduate only,20
2017,19,England,Men,Undergraduate only,60
2017,19,England,Women,Undergraduate only,70
2017,19,Not EU,Men,Undergraduate only,10
2017,19,Not EU,Women,Undergraduate only,20
2017,19,Scotland,Men,Undergraduate only,20
2017,19,Scotland,Women,Undergraduate only,20
2017,19,Wales,Men,Undergraduate only,10
2017,19,Wales,Women,Undergraduate only,10
2017,20,EU (excluding UK),Men,Undergraduate only,10
2017,20,EU (excluding UK),Women,Undergraduate only,10
2017,20,England,Men,Undergraduate only,20
2017,20,England,Women,Undergraduate only,20
2017,20,Not EU,Men,Undergraduate only,10
2017,20,Not EU,Women,Undergraduate only,10
2017,21-24,EU (excluding UK),Men,Postgraduate only,40
2017,21-24,EU (excluding UK),Men,Undergraduate only,10
2017,21-24,EU (excluding UK),Women,Postgraduate only,40
2017,21-24,EU (excluding UK),Women,Undergraduate only,10
2017,21-24,England,Men,Postgraduate only,80
2017,21-24,England,Men,Undergraduate only,10
2017,21-24,England,Women,Postgraduate only,120
2017,21-24,England,Women,Undergraduate only,10
2017,21-24,Not EU,Men,Postgraduate only,60
2017,21-24,Not EU,Men,Undergraduate only,10
2017,21-24,Not EU,Women,Postgraduate only,160
2017,21-24,Not EU,Women,Undergraduate only,10
2017,21-24,Scotland,Men,Postgraduate only,10
2017,21-24,Scotland,Men,Undergraduate only,10
2017,21-24,Scotland,Women,Postgraduate only,10
2017,21-24,Wales,Men,Postgraduate only,10
2017,21-24,Wales,Women,Postgraduate only,20
2017,25-29,EU (excluding UK),Men,Postgraduate only,10
2017,25-29,EU (excluding UK),Men,Undergraduate only,10
2017,25-29,EU (excluding UK),Women,Postgraduate only,10
2017,25-29,England,Men,Postgraduate only,30
2017,25-29,England,Women,Postgraduate only,50
2017,25-29,Not EU,Men,Postgraduate only,30
2017,25-29,Not EU,Women,Postgraduate only,40
2017,30-34,EU (excluding UK),Men,Postgraduate only,10
2017,30-34,England,Men,Postgraduate only,10
2017,30-34,England,Women,Postgraduate only,10
2017,30-34,Not EU,Men,Postgraduate only,10
2017,30-34,Not EU,Women,Postgraduate only,10
2018,17 and under,EU (excluding UK),Men,Undergraduate only,10
2018,17 and under,EU (excluding UK),Women,Undergraduate only,10
2018,17 and under,Not EU,Women,Undergraduate only,10
2018,18,EU (excluding UK),Men,Undergraduate only,20
2018,18,EU (excluding UK),Women,Undergraduate only,30
2018,18,England,Men,Combination,10
2018,18,England,Men,Undergraduate only,250
2018,18,England,Women,Undergraduate only,270
2018,18,Northern Ireland,Men,Undergraduate only,10
2018,18,Not EU,Men,Undergraduate only,30
2018,18,Not EU,Women,Undergraduate only,50
2018,18,Scotland,Men,Undergraduate only,40
2018,18,Scotland,Women,Undergraduate only,40
2018,18,Wales,Men,Undergraduate only,20
2018,18,Wales,Women,Undergraduate only,20
2018,19,EU (excluding UK),Men,Undergraduate only,20
2018,19,EU (excluding UK),Women,Undergraduate only,20
2018,19,England,Men,Undergraduate only,70
2018,19,England,Women,Undergraduate only,70
2018,19,Not EU,Men,Undergraduate only,20
2018,19,Not EU,Women,Undergraduate only,20
2018,19,Scotland,Men,Undergraduate only,20
2018,19,Scotland,Women,Undergraduate only,20
2018,19,Wales,Women,Undergraduate only,10
2018,20,EU (excluding UK),Men,Undergraduate only,10
2018,20,EU (excluding UK),Women,Undergraduate only,10
2018,20,England,Men,Undergraduate only,20
2018,20,England,Women,Undergraduate only,10
2018,20,Not EU,Men,Undergraduate only,10
2018,20,Not EU,Women,Undergraduate only,10
2018,20,Scotland,Men,Undergraduate only,10
2018,20,Scotland,Women,Undergraduate only,10
2018,21-24,EU (excluding UK),Men,Postgraduate only,30
2018,21-24,EU (excluding UK),Men,Undergraduate only,10
2018,21-24,EU (excluding UK),Women,Postgraduate only,50
2018,21-24,EU (excluding UK),Women,Undergraduate only,20
2018,21-24,England,Men,Postgraduate only,110
2018,21-24,England,Men,Undergraduate only,20
2018,21-24,England,Women,Postgraduate only,150
2018,21-24,England,Women,Undergraduate only,10
2018,21-24,Not EU,Men,Postgraduate only,90
2018,21-24,Not EU,Men,Undergraduate only,10
2018,21-24,Not EU,Women,Postgraduate only,190
2018,21-24,Not EU,Women,Undergraduate only,20
2018,21-24,Scotland,Men,Postgraduate only,10
2018,21-24,Scotland,Women,Postgraduate only,20
2018,21-24,Scotland,Women,Undergraduate only,10
2018,21-24,Wales,Men,Postgraduate only,10
2018,21-24,Wales,Women,Postgraduate only,20
2018,25-29,EU (excluding UK),Men,Postgraduate only,20
2018,25-29,EU (excluding UK),Women,Postgraduate only,30
2018,25-29,England,Men,Postgraduate only,40
2018,25-29,England,Women,Postgraduate only,70
2018,25-29,England,Women,Undergraduate only,10
2018,25-29,Not EU,Men,Postgraduate only,40
2018,25-29,Not EU,Women,Postgraduate only,80
2018,25-29,Not EU,Women,Undergraduate only,10
2018,25-29,Scotland,Women,Postgraduate only,10
2018,25-29,Wales,Women,Postgraduate only,10
2018,30-34,EU (excluding UK),Women,Postgraduate only,10
2018,30-34,England,Men,Postgraduate only,10
2018,30-34,England,Women,Postgraduate only,10
2018,30-34,Not EU,Men,Postgraduate only,10
2018,30-34,Not EU,Women,Postgraduate only,20
2018,35 and over,England,Men,Postgraduate only,10
2018,35 and over,Not EU,Women,Postgraduate only,10
2019,17 and under,EU (excluding UK),Women,Undergraduate only,20
2019,17 and under,England,Women,Undergraduate only,10
2019,17 and under,Not EU,Men,Undergraduate only,10
2019,17 and under,Not EU,Women,Undergraduate only,10
2019,18,EU (excluding UK),Men,Undergraduate only,30
2019,18,EU (excluding UK),Women,Undergraduate only,50
2019,18,England,Men,Undergraduate only,340
2019,18,England,Women,Combination,10
2019,18,England,Women,Undergraduate only,310
2019,18,Northern Ireland,Women,Undergraduate only,10
2019,18,Not EU,Men,Undergraduate only,50
2019,18,Not EU,Women,Undergraduate only,80
2019,18,Scotland,Men,Undergraduate only,50
2019,18,Scotland,Women,Undergraduate only,60
2019,18,Wales,Men,Undergraduate only,30
2019,18,Wales,Women,Undergraduate only,30
2019,19,EU (excluding UK),Men,Undergraduate only,30
2019,19,EU (excluding UK),Women,Undergraduate only,50
2019,19,England,Men,Undergraduate only,90
2019,19,England,Women,Undergraduate only,90
2019,19,Northern Ireland,Men,Undergraduate only,10
2019,19,Not EU,Men,Undergraduate only,20
2019,19,Not EU,Women,Undergraduate only,50
